landscape biomass_per_cell
0 10000
0 10000
113 10000
113 10000
114 10000
114 10000
115 10000
115 10000
116 10000
116 10000
123 10000
123 10000
124 10000
124 10000
125 10000
125 10000
126 10000
126 10000
212 10000
212 10000
213 10000
213 10000
214 10000
214 10000
215 10000
215 10000
216 10000
216 10000
223 10000
223 10000
224 10000
224 10000
225 10000
225 10000
226 10000
226 10000
311 10000
311 10000
312 10000
312 10000
313 10000
313 10000
314 10000
314 10000
315 10000
315 10000
316 10000
316 10000
322 10000
322 10000
323 10000
323 10000
324 10000
324 10000
325 10000
325 10000
326 10000
326 10000
414 10000
414 10000
415 10000
415 10000
416 10000
416 10000
423 10000
423 10000
424 10000
424 10000
425 10000
425 10000
426 10000
426 10000
511 10000
511 10000
512 10000
512 10000
513 10000
513 10000
514 10000
514 10000
515 10000
515 10000
516 10000
516 10000
522 10000
522 10000
523 10000
523 10000
524 10000
524 10000
525 10000
525 10000
526 10000
526 10000
