x,y,harb,pt_graph,code_area,landscapes_code,landscape_norm,landscape_alpha,wind,wind_norm,wind_alpha,sst,sst_norm,sst_alpha,salinity,salinity_norm,salinity_alpha,nitrogen_norm,nitrogen_alpha,phosphorus_norm,phosphorus_alpha,oxygen,oxygen_norm,oxygen_alpha,dissolvedcarbon,dissolvedcarbon_norm,dissolvedcarbon_alpha,bathymetry
10.8922,53.9883,0,1,0,0,0.0225317763371844,137.97830210017,12,0.0675162568095465,139.544821526509,12,0.0673461937717408,87.4250788869758,20,0.0291109609270642,63.338146065443,0.0259240778087808,138.032084298189,0.0681059352017644,65.9339800956136,1,0.0199192752650652,69.1697157815067,1,0.0332782390718418,75.4979705807317,1
10.9524,53.9828,0,2,0,0,0.0577375880502074,114.313652123421,12,0.0306966861453576,122.416579794708,12,0.0542538649356702,92.7899330271438,20,0.0448690550833323,81.2344858380097,0.0747339727153395,82.4592018914886,0.0327614454207694,33.664674857699,1,0.0352143583176158,131.888238392154,1,0.0619384397326877,105.125474842252,1
11.2532,53.9547,0,3,0,0,0.0532222954922518,86.3063665322236,12,0.0686417475105453,110.42494030331,12,0.0377475022461666,98.7439333863095,20,0.0772566857038905,91.5739331656654,0.024678538947245,171.267806397666,0.0878505983628887,93.7529737430872,1,0.0376110241288144,74.3975316268649,1,0.0553805157931617,87.590892126451,1
11.3134,53.9489,0,4,0,0,0.0487392768507934,104.757196501742,12,0.112825269880327,92.8042403437392,12,0.0482698901079017,63.1126365443127,20,0.0795018382657066,96.4678373563455,0.0408991786631056,39.3187122063297,0.0673097231596485,124.531123782099,1,0.0238976997346239,128.899755268783,1,0.0429134157749158,103.296390301875,1
11.3735,53.9432,0,5,0,0,0.0303826154868244,170.015612324275,12,0.0724867573520169,41.3882544057596,12,0.113901169340643,14.9406632530027,20,0.0665569861425987,89.3567162222593,0.0627309230596772,97.1583532551181,0.0553432272236235,68.6452690565156,1,0.0181626572275916,141.158322562183,1,0.0740577080506234,106.2508213835,1
11.4336,53.9374,0,6,0,0,0.106390088897652,85.4962214315789,12,0.0809625046082973,54.2581534994114,12,0.0634087543001414,97.7190412892555,20,0.046150068803119,35.5926996727258,0.0577886490542533,75.4181434387411,0.0279064358863216,71.9475517313666,1,0.103183396931516,41.3890650438056,1,0.0527125921853166,72.1222646111543,1
10.8148,54.0305,0,7,0,0,0.0558744518380042,154.572137861588,12,0.0228672200289377,45.3213072898181,12,0.0706368366959351,73.6738230451635,20,0.112945517970787,5.21510196771376,0.0758665453921483,41.9523814398612,0.0370578722449321,155.749261950062,1,0.088547996253394,93.7778869054422,1,0.0800405209658897,101.96858789009,1
10.8751,54.025,0,8,0,0,0.0975302337717246,22.2612784669468,12,0.027299922379812,64.8916160098279,12,0.0378143690659722,108.717733039066,20,0.0248774864161468,86.655519150066,0.0451932113630536,4.5135508723686,0.0589909736160661,112.456560729832,1,0.0607110595636672,118.047968732339,1,0.0381984378031256,94.8200525801052,1
10.9354,54.0195,0,9,0,0,0.056210703576061,141.197812547458,12,0.0252146481486979,101.36527748757,12,0.0576574376754999,53.7102870984445,20,0.0428356717691155,57.4908887603284,0.0427971446044292,99.303676449893,0.0274182378428981,106.472516655625,1,0.069057872628741,47.502852191818,1,0.0584554142745753,-21.0185869979235,1
10.9956,54.0139,0,10,0,0,0.0313490416552964,93.2166465068181,12,0.0861991667069832,87.4241360135766,12,0.0506455418354781,105.005796425501,20,0.0958859848582512,81.8899109161458,0.0439850409315546,69.8602022164801,0.05822196925592,60.7309628967087,1,0.0832464762104169,58.8680119949999,1,0.0343028064682109,141.637857384664,1
11.2366,53.9913,0,11,0,0,0.0706371237879893,23.3494241546972,12,0.0614090508838619,74.3639495823881,12,0.0737136959285433,96.7262825679451,20,0.0572886204475807,142.802140224329,0.056808185990127,128.706001040105,0.0414168836775295,89.3318695209745,1,0.0382337585148424,35.4561742122552,1,0.0778292705009476,59.3936260801848,1
11.2968,53.9856,0,12,0,0,0.070939201355952,94.1020842750922,12,0.0467693049650627,143.807230525786,12,0.0518610515426346,56.4045770875422,20,0.135819541696914,-26.4212444067844,0.0293145493813694,128.398724468935,0.0754028157420198,35.111550518769,1,0.0524839680157751,82.3527504687249,1,0.0366619015076312,3.4301951275919,1
11.357,53.9799,0,13,0,0,0.0575316100396492,56.9036497077022,12,0.0586175513258567,62.9845469980998,12,0.0524395091024556,157.59864456752,20,0.0358997689230592,50.113723153268,0.149547597252272,122.006451777147,0.0624287373645294,157.432201888327,1,0.0490093169849801,97.2399358865103,1,0.0317113974072374,128.105109875395,1
14.5799,53.6252,0,14,0,0,0.0467835664686855,46.9252874650425,12,0.032192828452718,86.7585542411289,12,0.0789604047059581,87.188937737875,20,0.0264582123289133,113.316382547872,0.0523733067471318,42.3317785515848,0.0346551572925446,112.225557214221,1,0.0393989531112,70.4981631441563,1,0.0618730482437006,123.484546973003,1
10.8151,54.0656,0,15,0,0,0.0343477688338712,65.5022705817502,12,0.0479626546721721,27.9829127141173,12,0.0561065771671379,153.734289202559,20,0.038658339002468,92.0038011820576,0.0245805094390786,117.229811564187,0.0352993466187064,52.9369645690255,1,0.0849625917150961,47.1730418352292,1,0.104990038686336,103.02552223439,1
10.8754,54.06,0,16,0,0,0.0822262296726439,91.3001390720687,12,0.0208000626603146,50.5324129485004,12,0.0903260308672482,77.7193251918726,20,0.052170241558393,33.1191356961211,0.0363671377998614,101.246533858051,0.0398173110119947,120.354535382944,1,0.0438547760967662,110.981564229071,1,0.0371019441352603,28.897131717184,1
10.9357,54.0545,0,17,0,0,0.0717243935328143,123.890635047346,12,0.0404606678931822,86.2027325015681,12,0.0563978833291766,65.1582604640014,20,0.0675902190483965,119.391403144625,0.0567390818964604,93.2788341122053,0.0249267482881024,122.164943865608,1,0.0636620602397976,63.5255958154626,1,0.0558691210134565,71.2317560203023,1
10.996,54.0489,0,18,0,0,0.0583562291044127,34.7732535814094,12,0.0529592486844759,47.6566302501678,12,0.0495101817483187,137.194142480993,20,0.0415614768966638,128.054965660619,0.0641225740276384,146.248203439338,0.0313595299101993,48.1089010144994,1,0.0500517479126,67.5508256274048,1,0.0495500579489329,29.7589293131268,1
