landscape loss_after_one_passage
0 0.2
0 0.2
113 0.2
113 0.2
114 0.2
114 0.2
115 0.2
115 0.2
116 0.2
116 0.2
123 0.2
123 0.2
124 0.2
124 0.2
125 0.2
125 0.2
126 0.2
126 0.2
212 0.2
212 0.2
213 0.2
213 0.2
214 0.2
214 0.2
215 0.2
215 0.2
216 0.2
216 0.2
223 0.2
223 0.2
224 0.2
224 0.2
225 0.2
225 0.2
226 0.2
226 0.2
311 0.2
311 0.2
312 0.2
312 0.2
313 0.2
313 0.2
314 0.2
314 0.2
315 0.2
315 0.2
316 0.2
316 0.2
322 0.2
322 0.2
323 0.2
323 0.2
324 0.2
324 0.2
325 0.2
325 0.2
326 0.2
326 0.2
414 0.2
414 0.2
415 0.2
415 0.2
416 0.2
416 0.2
423 0.2
423 0.2
424 0.2
424 0.2
425 0.2
425 0.2
426 0.2
426 0.2
511 0.2
511 0.2
512 0.2
512 0.2
513 0.2
513 0.2
514 0.2
514 0.2
515 0.2
515 0.2
516 0.2
516 0.2
522 0.2
522 0.2
523 0.2
523 0.2
524 0.2
524 0.2
525 0.2
525 0.2
526 0.2
526 0.2
